Date,ITB,IYZ,XLY,XLP,IYT,PHO,DBA,DBB,VNQ,LQD
14/04/2016,27.145775,27.487879,74.547775,46.647881,135.464996,21.90872,19.793959,12.166786,68.823639,102.756676
15/04/2016,27.204449,27.647846,74.754669,46.939926,135.351318,21.977249,20.008266,12.176457,69.339241,103.188171
18/04/2016,27.233786,27.807816,75.459991,47.205421,135.815292,22.133881,20.125158,12.25383,69.671867,103.300407
19/04/2016,27.047987,28.06554,75.046204,47.178875,137.529251,22.339457,20.378428,12.485947,69.705139,103.490288
20/04/2016,27.194668,28.06554,75.140244,46.647881,137.680725,22.290506,20.621956,12.602004,68.524277,103.20549
21/04/2016,27.087103,27.612301,74.876923,45.815979,135.957367,22.329668,20.436874,12.543977,67.301796,103.162308
22/04/2016,27.018652,28.021105,74.726456,45.984127,137.264114,22.574402,20.018005,12.650363,68.033615,103.27449
25/04/2016,26.862188,27.87891,74.811111,46.302731,135.606979,22.417772,20.281017,12.51496,68.599113,103.03286
26/04/2016,27.077324,27.914457,74.989777,46.116879,137.12207,22.740822,20.514803,12.553647,68.865227,102.989662
27/04/2016,27.184889,28.145525,74.914558,46.338127,137.406113,22.907242,20.368687,12.534304,68.823639,103.645622
28/04/2016,26.197239,27.905573,74.105797,46.382381,135.247162,22.613564,20.329721,12.602004,68.682281,103.740562
29/04/2016,26.001667,27.736713,74.481926,46.285027,133.580627,22.476507,20.534286,12.805106,68.050262,103.85276
02/05/2016,26.314579,28.216621,75.525818,46.816021,134.574875,22.789768,20.553768,12.718062,69.106384,103.718605
03/05/2016,25.845201,27.87891,74.82991,46.727531,132.889343,22.447142,20.339462,12.466604,69.214485,103.900368
04/05/2016,25.747412,27.87891,74.491356,46.869114,131.72467,22.349247,20.427134,12.389232,70.204109,103.727295
05/05/2016,25.659407,27.28347,74.011734,46.877975,130.219086,22.133881,20.232311,12.205472,70.403694,103.934952
06/05/2016,25.776752,27.159054,74.557175,47.116917,131.336411,22.349247,20.339462,12.25383,71.177078,103.709984
09/05/2016,25.903877,27.150167,74.764076,47.373569,131.383774,22.202404,20.329721,11.983027,71.958786,103.606133
10/05/2016,26.060337,27.505651,75.723312,47.842613,133.097687,22.476507,20.641438,12.00237,71.950478,103.779205
11/05/2016,25.776752,27.416782,74.199821,47.462067,130.881897,22.388399,20.729107,12.128099,70.412018,103.891693
12/05/2016,25.737637,27.23015,74.340881,47.718716,129.054367,22.39819,20.81678,12.021713,70.819511,103.675346
13/05/2016,25.639849,27.132395,73.456886,47.116917,127.416229,22.270931,20.719366,12.021713,70.187485,103.865746
16/05/2016,25.854984,27.399006,73.917686,47.417812,128.486237,22.525454,20.846003,12.089414,70.85276,103.519562
17/05/2016,25.806089,26.954649,73.080711,46.488579,129.243744,22.231773,20.914188,12.050728,69.538826,103.484993
18/05/2016,25.727858,27.28347,72.657516,45.94873,129.688828,22.202404,20.81678,11.963684,68.449417,102.602226
19/05/2016,25.630068,27.061296,72.591698,46.400078,128.827148,22.094719,20.50506,11.944341,67.684341,102.844551
20/05/2016,26.070112,27.354572,73.071312,46.161125,130.484207,22.251354,20.573252,11.934669,68.224876,102.91378
23/05/2016,25.884314,27.23904,72.817368,46.205379,129.972885,22.202404,20.329721,11.866969,68.233215,102.91378
24/05/2016,26.871969,27.505651,73.691971,46.594776,130.53157,22.496086,20.290758,11.87664,69.081444,102.740723
25/05/2016,26.813303,27.621185,74.096375,46.665581,131.601563,22.574402,20.524544,11.895984,69.081444,102.922447
